Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 4/558 ...errors:778.000000, BEP:0.493490, transmissions:6 - took 0.019087 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:5.500000, 12/558 ...errors:906.000000, BEP:0.557617, transmissions:8 - took 0.022811 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 3/558 ...errors:886.000000, BEP:0.505580, transmissions:7 - took 0.007915 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 32/558 ...errors:841.000000, BEP:0.530692, transmissions:7 - took 0.031502 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 2/558 ...errors:793.000000, BEP:0.483724, transmissions:6 - took 0.007656 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:3.500000, 8/558 ...errors:869.000000, BEP:0.515067, transmissions:7 - took 0.035306 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:5.000000, 11/558 ...errors:942.000000, BEP:0.540039, transmissions:8 - took 0.014590 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 1/558 ...errors:785.000000, BEP:0.488932, transmissions:6 - took 0.006752 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 7/558 ...errors:851.000000, BEP:0.525112, transmissions:7 - took 0.006833 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:4.500000, 10/558 ...errors:903.000000, BEP:0.496094, transmissions:7 - took 0.005942 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:4.000000, 9/558 ...errors:895.000000, BEP:0.500558, transmissions:7 - took 0.004731 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 65/558 ...errors:785.000000, BEP:0.488932, transmissions:6 - took 0.005945 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 6/558 ...errors:896.000000, BEP:0.500000, transmissions:7 - took 0.006058 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 5/558 ...errors:878.000000, BEP:0.510045, transmissions:7 - took 0.005121 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 64/558 ...errors:894.000000, BEP:0.501116, transmissions:7 - took 0.005893 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 131/558 ...errors:899.000000, BEP:0.498326, transmissions:7 - took 0.006864 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 63/558 ...errors:913.000000, BEP:0.490513, transmissions:7 - took 0.004578 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 98/558 ...errors:781.000000, BEP:0.491536, transmissions:6 - took 0.005200 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 130/558 ...errors:880.000000, BEP:0.508929, transmissions:7 - took 0.006123 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 97/558 ...errors:788.000000, BEP:0.486979, transmissions:6 - took 0.005010 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 129/558 ...errors:778.000000, BEP:0.493490, transmissions:6 - took 0.004781 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 96/558 ...errors:897.000000, BEP:0.499442, transmissions:7 - took 0.004908 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 128/558 ...errors:781.000000, BEP:0.491536, transmissions:6 - took 0.005344 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 95/558 ...errors:875.000000, BEP:0.511719, transmissions:7 - took 0.004652 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 127/558 ...errors:903.000000, BEP:0.496094, transmissions:7 - took 0.006279 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 94/558 ...errors:801.000000, BEP:0.478516, transmissions:6 - took 0.005348 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 126/558 ...errors:778.000000, BEP:0.493490, transmissions:6 - took 0.005685 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 125/558 ...errors:883.000000, BEP:0.507254, transmissions:7 - took 0.006489 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:7.500000, 16/558 ...errors:1593.000000, BEP:0.998625, transmissions:4526 - took 1.180874 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:7.000000, 15/558 ...errors:1640.000000, BEP:0.987239, transmissions:502 - took 0.104151 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:6.500000, 14/558 ...errors:1426.000000, BEP:0.912964, transmissions:64 - took 0.017245 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:6.000000, 13/558 ...errors:1128.000000, BEP:0.706250, transmissions:15 - took 0.005968 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:4.000000, 164/558 ...errors:853.000000, BEP:0.523996, transmissions:7 - took 0.006551 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:3.500000, 163/558 ...errors:848.000000, BEP:0.526786, transmissions:7 - took 0.006179 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:3.000000, 162/558 ...errors:858.000000, BEP:0.521205, transmissions:7 - took 0.005862 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 161/558 ...errors:898.000000, BEP:0.498884, transmissions:7 - took 0.005957 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 160/558 ...errors:878.000000, BEP:0.510045, transmissions:7 - took 0.005778 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:1.500000, 159/558 ...errors:883.000000, BEP:0.507254, transmissions:7 - took 0.005831 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:1.000000, 158/558 ...errors:867.000000, BEP:0.516183, transmissions:7 - took 0.006502 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 157/558 ...errors:886.000000, BEP:0.505580, transmissions:7 - took 0.005769 mins
Q:16, M:40, codeRate:0.500000, codeLen:2^9, EbN0:0.000000, 156/558 ...errors:873.000000, BEP:0.512835, transmissions:7 - took 0.006163 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:0.500000, 33/517 ...errors:1271371.000000, BEP:0.503371, transmissions:0 - took 2.172041 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:2.500000, 37/517 ...errors:1252154.000000, BEP:0.510877, transmissions:0 - took 2.171039 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:8.500000, 49/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.174871 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:6.500000, 45/517 ...errors:371.000000, BEP:0.999855, transmissions:0 - took 2.180982 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:4.500000, 41/517 ...errors:779487.000000, BEP:0.695513, transmissions:0 - took 2.188533 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:13.500000, 28/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.738147 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:11.500000, 24/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.738103 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:9.500000, 20/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.739137 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:2.000000, 36/517 ...errors:1260403.000000, BEP:0.507655, transmissions:0 - took 2.134577 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:8.000000, 48/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.150745 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:4.000000, 40/517 ...errors:1085768.000000, BEP:0.575872, transmissions:0 - took 2.144001 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^9, EbN0:6.000000, 44/517 ...errors:5758.000000, BEP:0.997751, transmissions:0 - took 2.159919 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:15.000000, 31/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.712821 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:11.000000, 23/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.690935 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^9, EbN0:13.000000, 27/517 ...errors:0.000000, BEP:1.000000, transmissions:0 - took 2.712297 mins
